unique_identifier,location_name,address_line1,address_line2,address_line3,address_city,address_county,address_post_code,country,ladnm,lsoa21,lsoa21nm,defibrillators_availability,defibrillators_access_type,lat,long,county
999D1B60-9560-4D68-BBB7-B11700F98710,Peel Brow Primary School,Peel Brow Primary,Fir Street,,Ramsbottom,Bury,BL0 0BJ,England,Bury,E01005015,Bury 001B,Varied Access,Restricted,53.6482,-2.30818,Greater Manchester
897D8D7F-3D96-425A-AD3B-B17E00BCAC04,Ramsbottom Cricket Club,Ramsbottom Cricket Club,Ramsbottom Cricket Club,"Acre Bottom Lane, Ramsbottom",Bury,Greater Manchester,BL0 0BS,England,Bury,E01005014,Bury 001A,24/7 Access,Public,53.6459,-2.31348,Greater Manchester
B237E4BB-A2EB-4EA1-AEAA-B17E00BEF399,,Ramsbottom Cricket Club,Acre Bottom Lane,,Ramsbottom,Bury,BL0 0BS,England,Bury,E01005014,Bury 001A,Varied Access,Public,53.6459,-2.31348,Greater Manchester
A91BD047-37D5-4F26-B8D3-B01B00F183D2,Marshalls Mono,Marshalls Mono Fletcher Bank Quarries,Manchester Road,,Ramsbottom,Bury,BL0 0DD,England,Bury,E01005022,Bury 003B,Varied Access,Public,53.64726,-2.3016,Greater Manchester
7A018C3B-7844-40E3-B14C-AE39010EC1ED,Tesco Superstore,Irwell St,Ramsbottom,Bury,Ramsbottom,Bury,BL0 9AS,England,Bury,E01005014,Bury 001A,Varied Access,Public,53.6467847,-2.3150649,Greater Manchester
B4BA7D53-995F-489D-A1F4-B0A700BAA2D7,Little Miracles Daycare Nursery,Little Miracles Daycare Nursery,Kay Brow,Ramsbottom,Bury,Bury,BL0 9AY,England,Bury,E01005014,Bury 001A,24/7 Access,Public,53.64549005,-2.317653894,Greater Manchester
D977E575-7B2E-4CE8-8643-B0C300A35A89,Old Mill Hotel,Old Mill Hotel,37 Springwood Street,Ramsbottom,Ramsbottom,Bury,BL0 9DT,England,Bury,E01005016,Bury 001C,24/7 Access,Public,53.6497,-2.32149,Greater Manchester
3D058125-550D-42AE-B75C-B3E500AE161D,Foot O'th Rake,Foot O'th Rake,1 The Rake,,Ramsbottom,Bury,BL0 9HE,England,Bury,E01005016,Bury 001C,24/7 Access,Public,53.64722469,-2.324970961,Greater Manchester
F34C1E2D-C93F-4EC8-9384-AE2701017B65,Charles Louis Homes Ltd,Charles Louis Homes Ltd,4 Bolton Street,4 Bolton Street,Ramsbottom,Bury,BL0 9HX,England,Bury,E01005014,Bury 001A,24/7 Access,Public,53.6486,-2.31881,Greater Manchester
D0165EA9-71BF-4E67-B393-B18C00DA4FB5,St Josephs Rc Primary School (Mediana),St Josephs Rc Primary School,Queen Street,,Ramsbottom,Bury,BL0 9JJ,England,Bury,E01005016,Bury 001C,24/7 Access,Public,53.6446,-2.32343,Greater Manchester
D5F0CA39-9DB2-481A-A88B-B09000B9A1C1,St Josephs Rc Primary School (Heartsine),St Josephs Rc Primary School,Queen Street,,Ramsbottom,Bury,BL0 9JJ,England,Bury,E01005016,Bury 001C,Varied Access,Restricted,53.6445603,-2.3234285,Greater Manchester
9512B663-03A6-48E9-89D4-AF630114FEA9,,Community Centre Nuttall Park,Nuttall Hall Road,,Ramsbottom,Bury,BL0 9LU,England,Bury,E01005017,Bury 001D,24/7 Access,Public,53.64262,-2.31036,Greater Manchester
F8CEDBD3-5DDB-4630-BDCC-B2D100DC87CA,Hazlehurst Primary Academy,Hazelhurst Primary Community,Geoffrey Street,,Ramsbottom,Bury,BL0 9PQ,England,Bury,E01005019,Bury 002A,Varied Access,Restricted,53.6388,-2.32887,Greater Manchester
0FA04EFC-5325-436A-98B1-B0A700BA9464,Rippon Hall Avenue (Brangy Warriors Jfc),Rippon Hall Avenue (Brangy Warriors Jfc),63 Rippon Hall Avenue,Ramsbottom,Bury,Bury,BL0 9RE,England,Bury,E01005020,Bury 003A,24/7 Access,Public,53.6384034,-2.3222826,Greater Manchester
3C67A433-AF2C-4EC5-A9AA-AE3600F7FF06,,Holcombe Brook Cp School,Longsight Road,,Tottington,Bury,BL0 9TA,England,Bury,E01005023,Bury 002B,24/7 Access,Restricted,53.6273937,-2.329708,Greater Manchester
FCEC7849-5121-4954-BBC5-B35D00A9A618,Safe Haven,56 Bradshawgate,,,Bolton,Bolton,BL1 1DW,England,Bolton,E01004817,Bolton 022E,24/7 Access,Public,53.57827557,-2.426841411,Greater Manchester
F24F00CF-084C-4977-9889-ADFF00B73787,Hogarths,37-41 Churchgate,,,Bolton,Bolton,BL1 1HU,England,Bolton,E01033220,Bolton 016F,24/7 Access,Public,53.5799,-2.42514,Greater Manchester
C7B38622-44D1-4992-B2B5-B26700E544DF,Bolton Advertising Kiosk,Outside 47 Newport Street,,,Bolton,Greater Manchester,BL1 1NE,England,Bolton,E01004817,Bolton 022E,24/7 Access,Public,53.57688873,-2.429116744,Greater Manchester
AA2ABEED-9F9B-4954-981D-AE98008FBAF6,Fieldings Porter Solicitors,Silverwell House,32 Silverwell Street,,Bolton,Bolton,BL1 1PT,England,Bolton,E01004817,Bolton 022E,24/7 Access,Public,53.5781257,-2.424609,Greater Manchester
805DF790-4CA1-45CA-875D-B3250177BFE4,Cardwells,Cardwells Estate Agents,Canon Court,11 Institute Street,Bolton,Bolton,BL1 1PZ,England,Bolton,E01004817,Bolton 022E,24/7 Access,Public,53.5783,-2.4234,Greater Manchester
1A52D7A0-A4B7-4979-9BE3-B35D00AC39D0,33 Victoria Square,33 Victoria Square,,,Bolton,Bolton,BL1 1RJ,England,Bolton,E01004817,Bolton 022E,24/7 Access,Public,53.57810626,-2.42897639,Greater Manchester
9C8D8FB0-A05D-4A98-845D-AFE100E88288,"Claremont Church, Bolton",Claremont House,St Georges Road,,Bolton,Bolton,BL1 2BY,England,Bolton,E01004823,Bolton 016C,Varied Access,Restricted,53.5812475,-2.4338538,Greater Manchester
F493BBFF-DCEE-4DA1-8D54-B029009E03FF,St Matthew's C Of E Primary School,"St Matthew's C Of E Primary School, Kentford Rd",Kentford Rd,,Bolton,Greater Manchester,BL1 2JL,England,Bolton,E01004820,Bolton 011A,Varied Access,Restricted,53.5876734,-2.4340556,Greater Manchester
0203F918-58E9-404B-9B04-AF82009CEC38,,St Lukes Vicarage,Chorley Old Road,,Bolton,Bolton,BL1 3BE,England,Bolton,E01004869,Bolton 015B,24/7 Access,Public,53.58599,-2.45049,Greater Manchester
D1BCDEAD-0C76-4AB7-AC3A-B3FB0112BB09,Brownlow-Fold Primary School,Brownlow Fold Primary School,Darley Street,,Bolton,Bolton,BL1 3DX,England,Bolton,E01004866,Bolton 011E,Varied Access,Restricted,53.58900556,-2.442966323,Greater Manchester
E95603F8-1DDF-4AFE-8EEC-B0A700C3B8EC,,St Thomas Halliwell C Of E Primary School,Eskrick Street,,Bolton,Bolton,BL1 3JB,England,Bolton,E01004826,Bolton 011C,24/7 Access,Public,53.5921528,-2.4430002,Greater Manchester
6529D867-CB84-443E-B671-AEED00CFE3B0,,All Souls Church,Astley Street,,Bolton,Bolton,BL1 3QQ,England,Bolton,E01004825,Bolton 011B,Varied Access,Public,53.59377,-2.43413,Greater Manchester
7FFB4FB5-A3D3-40D3-9180-AF2200A5C39D,Victory Reform Club Bolton,Victory Reform Club,Victory Street,,Bolton,Bolton,BL1 4JA,England,Bolton,E01004869,Bolton 015B,Varied Access,Public,53.5851334,-2.4500717,Greater Manchester
0A2B06EE-2AAC-49DE-80B3-B03C00A786BC,,Devonshire Road Primary School,Devonshire Road,,Bolton,Lancashire,BL1 4ND,England,Bolton,E01004923,Bolton 018E,Varied Access,Restricted,53.58190918,-2.45957041,Greater Manchester
7A04A298-283D-4072-BF60-B15701128FE8,St. Margaret Church,Lonsdale Road,Halliwell,,Bolton,Greater Manchester,BL1 4PW,England,Bolton,E01004922,Bolton 015E,24/7 Access,Public,53.5843,-2.45706,Greater Manchester
05153F49-B11E-4ABD-8A51-AFC400876248,Metal Solutions,Opal House.,Bentinck St.,Bentinck Street,Bolton,Bolton,BL1 4QG,England,Bolton,E01004922,Bolton 015E,Varied Access,Public,53.586179,-2.456548,Greater Manchester
136A6310-EFF1-4598-BF00-B00B00ABCD03,Park School Teaching Service,33-35 Chorley New Road,,,Bolton,Bolton,BL1 4QR,England,Bolton,E01033217,Bolton 016E,Varied Access,Restricted,53.58192062,-2.44158101,Greater Manchester
32440804-DD88-4668-918E-B3E100E9A59B,Bolton Hospice ,Bolton Hospice,Queens Park Street,,Bolton,Bolton,BL1 4QT,England,Bolton,E01033217,Bolton 016E,24/7 Access,Public,53.5813,-2.44233,Greater Manchester
8A676479-D583-4837-8142-B22100AE9F7D,Bolton Hospice Wellbeing Hub,Bolton Hospice,Queens Park Street,,Bolton,Bolton,BL1 4QT,England,Bolton,E01033217,Bolton 016E,Varied Access,Public,53.5813,-2.44233,Greater Manchester
EE6E46E7-6784-457A-B89D-B36900E9234E,Pavilion Cafe,Park Road,,,Bolton,Bolton,BL1 4RU,England,Bolton,E01033217,Bolton 016E,24/7 Access,Public,53.57750345,-2.445359686,Greater Manchester
27A9A732-F2E3-4E82-8CAE-B45F00E0C0B7,Christ Church Parish Centre,Christ Church,Chorley New Road,,Bolton,Bolton,BL1 5AH,England,Bolton,E01004837,Bolton 020C,24/7 Access,Public,53.5804,-2.47627,Greater Manchester
86851E54-C294-441C-AA5A-ADC700DAB35C,Overdale Crematorium,Overdale Crematorium,Overdale Drive,,Bolton,Uk,BL1 5BU,England,Bolton,E01004845,Bolton 018D,24/7 Access,Public,53.5766255,-2.463211,Greater Manchester
8841F00C-D9E2-46D5-AC3F-B17700CBF3C4,,Bolton Mountain Rescue Ladybridge Hall,399 Chorley New Road,,Bolton,Bolton,BL1 5DD,England,Bolton,E01004837,Bolton 020C,24/7 Access,Public,53.5797,-2.47634,Greater Manchester
B4523FD3-D9A7-477A-A338-AE4400B4B732,,Markland Hill Primary School,Markland Hill,,Bolton,Bolton,BL1 5EJ,England,Bolton,E01004842,Bolton 012C,Varied Access,Restricted,53.5855941,-2.4773727,Greater Manchester
33DDB2F6-DD03-45DC-AC28-AF5600E98C6E,Canterburys 1 Nursery And Oosc,St Thomas Of Canterbury Nursery And Out Of School Club,24 Eastbourne Grove,,Bolton,Bolton,BL1 5LH,England,Bolton,E01004845,Bolton 018D,Varied Access,Restricted,53.5847805,-2.4625147,Greater Manchester
001B5BC9-F201-473F-9D27-B0B900BD04B1,Mcdonalds - Chorley Old Road,Mcdonalds - Chorley Old Road,1011 Chorley Old Road,"Bolton, Lancashire",Bolton,Bolton,BL1 5SX,England,Bolton,E01004840,Bolton 012A,Varied Access,Public,53.591423,-2.480747,Greater Manchester
0FA6F04A-2D22-4A20-B6A2-B3E6009F655C,St Peters Smithills Dean Ce Primary School ,Limefield Road,,,Bolton,Bolton,BL1 6LA,England,Bolton,E01004924,Bolton 008D,24/7 Access,Public,53.60121046,-2.46052715,Greater Manchester
6DCAE9A1-BCAC-49B5-9624-B28400C1397A,,Astley Bridge Baptist Church,Eden Street,,Bolton,Bolton,BL1 6NL,England,Bolton,E01004766,Bolton 005A,24/7 Access,Public,53.5984,-2.43406,Greater Manchester
7ECF81A2-316F-4621-A376-B20F00E3157B,,Pineapple Inn,562 Blackburn Road,,Bolton,Bolton,BL1 7AL,England,Bolton,E01004767,Bolton 005B,24/7 Access,Public,53.60121,-2.43248,Greater Manchester
3CD62D36-B609-4ED0-A7B9-ADEB008FAB98,,The Oaks Primary School,Sharples Hall Drive,,Bolton,Bolton,BL1 7HS,England,Bolton,E01004769,Bolton 003A,Varied Access,Public,53.6098038,-2.4262721,Greater Manchester
9BE656A3-F8DD-48AF-937F-B13F00C67D2E,,Brewhouse,983-987 Blackburn Road,,Bolton,Bolton,BL1 7LG,England,Bolton,E01004771,Bolton 003C,24/7 Access,Public,53.6133,-2.43406,Greater Manchester
3601E5C4-C31D-487A-9AF0-B11C00E839E1,,Former Halliwell Free Church,Halliwell Road,,Bolton,Bolton,BL1 8DE,England,Bolton,E01004865,Bolton 011D,24/7 Access,Public,53.5938,-2.44253,Greater Manchester
A0B20E02-1B22-40BD-8449-AF7A00F60DA4,Keg&Thread,423 425 Halliwell Road,,,Bolton,Bolton,BL1 8DE,England,Bolton,E01004865,Bolton 011D,24/7 Access,Public,53.59426117,-2.44433904,Greater Manchester
8B56B6B6-2828-40DC-AC08-B3E200FF92C4,The Valley Cp School,The Valley Community School,Hibbert Street,,Bolton,Bolton,BL1 8JG,England,Bolton,E01004822,Bolton 016B,Varied Access,Restricted,53.5923,-2.42851,Greater Manchester
F1DB040E-FE81-4BFF-9085-AEC300E25C58,,Lamb Hotel,455 Blackburn Road,,Bolton,Bolton,BL1 8NN,England,Bolton,E01004766,Bolton 005A,24/7 Access,Public,53.5984813,-2.433003,Greater Manchester
1D7540B9-B09C-4512-9944-AE20010F2D40,Nuffield Health,7-10 Eagley Brook Way,,,Bolton,Bolton,BL1 8TS,England,Bolton,E01004767,Bolton 005B,Varied Access,Restricted,53.5972014,-2.4239542,Greater Manchester
32AFDD83-98D7-43AB-8618-AEBD00D9BEDB,,Astley Bridge Police Station,Crompton Way,,Bolton,Bolton,BL1 8UN,England,Bolton,E01004927,Bolton 010C,24/7 Access,Public,53.5976178,-2.4180202,Greater Manchester
CA757EFF-9B53-407F-B74D-B13A011AC3B4,Nash Pharmacy,61-65 Castle Street,,,Bolton,Bolton,BL2 1AD,England,Bolton,E01004818,Bolton 017A,24/7 Access,Public,53.5782,-2.41733,Greater Manchester
4C65EFD5-A7C8-4983-B58B-AEBE00EAC006,Bolton Railway Station,Bolton Railway Station,Trinity Street,Bolton,Bolton,Bolton,BL2 1BE,England,Bolton,E01004848,Bolton 016D,24/7 Access,Public,53.5743969,-2.4267462,Greater Manchester
C8835331-5F84-4041-858F-AECF0116F781,Surestore Bolton,Orlando Street,Bolton,,Bolton,Bolton,BL2 1DU,England,Bolton,E01004848,Bolton 016D,Varied Access,Restricted,53.571194,-2.4225462,Greater Manchester
17737594-E0B9-4CF1-A5F9-AFC300FFB056,Screwfix,Unit 2 Morston Point,Manchester Road,Bolton,Bolton,,BL2 1HA,England,Bolton,E01004817,Bolton 022E,Varied Access,Restricted,53.570818,-2.4203162,Greater Manchester
8E5E4939-F3D0-40D1-80D4-AD7F00D95903,,Arnold Clark Bolton Motorstore,Unit 5,Trinity Retail Park,Bolton,Bolton,BL2 1HY,England,Bolton,E01004817,Bolton 022E,Varied Access,Public,53.5721383,-2.4172854,Greater Manchester
BB7A2E38-4F00-4060-BBBA-B0FF0156FEAF,,94 Castle Street,Haulgh,,Bolton,Bolton,BL2 1JL,England,Bolton,E01004818,Bolton 017A,Varied Access,Restricted,53.57673264,-2.41517305,Greater Manchester
1C16B005-DD71-4734-874F-B39F00DD92B0,Bolton Mbc,Bolton Parish Church C Of E School,Chadwick Street,,Bolton,Bolton,BL2 1JN,England,Bolton,E01004818,Bolton 017A,Varied Access,Public,53.5762,-2.41609,Greater Manchester
0B66DE84-34EB-40CE-8C88-B39F00DC8A57,Bolton Mbc,Bolton Parish Church C Of E School,Chadwick Street,,Bolton,Bolton,BL2 1JN,England,Bolton,E01004818,Bolton 017A,Varied Access,Public,53.5762,-2.41609,Greater Manchester
